ID,RSU Code,SDU Billing Rates,Circle,Decom Date,ID (Rsu Items),Item (Rsu Items),Plan FAT (Rsu Items),Plan Fibre length (Rsu Items),Plan HP (Rsu Items)
,,,,,,SER-FSDU-CFT-48F,53,0,848
,G3D-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,64,4200,1024
,,,,,,SER-FSDU-CFT-12F,64,1400,1024
,,,,,,SER-FSDU-CFT-24F,64,1500,1024
,,,,,,SER-FSDU-CFT-48F,64,0,1024
,G3R-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,88,0,1408
,,,,,,SER-FSDU-CFT-12F,88,2800,1408
,,,,,,SER-FSDU-CFT-24F,88,850,1408
,,,,,,SER-FSDU-CFT-48F,88,0,1408
,G3S-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,76,0,1216
,,,,,,SER-FSDU-CFT-12F,76,0,1216
,,,,,,SER-FSDU-CFT-24F,76,0,1216
,,,,,,SER-FSDU-CFT-48F,76,0,1216
,G3S-1,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,20,0,160
,,,,,,SER-FSDU-CFT-12F,20,0,160
,,,,,,SER-FSDU-CFT-24F,20,0,160
,,,,,,SER-FSDU-CFT-48F,20,0,160
,G4A-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,159,5500,2544
,,,,,,SER-FSDU-CFT-12F,159,3500,2544
,,,,,,SER-FSDU-CFT-24F,159,2500,2544
,,,,,,SER-FSDU-CFT-48F,159,0,2544
,G4L-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,162,3900,1304
,,,,,,SER-FSDU-CFT-12F,162,4800,1304
,,,,,,SER-FSDU-CFT-24F,162,2900,1304
,,,,,,SER-FSDU-CFT-48F,162,4400,1304
,G4R-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,0,0,0
,,,,,,SER-FSDU-CFT-12F,0,0,0
,,,,,,SER-FSDU-CFT-24F,0,0,0
,,,,,,SER-FSDU-CFT-48F,0,0,0
,GA2-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,119,1780,952
,,,,,,SER-FSDU-CFT-12F,119,0,952
,,,,,,SER-FSDU-CFT-24F,119,0,952
,,,,,,SER-FSDU-CFT-48F,119,1800,952
,GBR-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,219,0,3504
